"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
32995,223,"TWN","Taiwan",1,"Kaohsiung",1,"Kaohsiung City","","Gaoxiong Shi","Chuan-shih","Special Municipality"
32996,223,"TWN","Taiwan",2,"Pratas Islands",2,"","","","",""
32997,223,"TWN","Taiwan",3,"Taipei",3,"Taipei City","","Taibei Shi","Chuan-shih","Special Municipality"
32998,223,"TWN","Taiwan",4,"Taiwan",4,"Changhwa","","Zhanghua|Changhua","District|Hsien","County"
32999,223,"TWN","Taiwan",4,"Taiwan",5,"Chiayi","","Jiayi|Chiai","District|Hsien","County"
34329,223,"TWN","Taiwan",4,"Taiwan",6,"Hsinchu","","Xinzhu","District|Hsien","County"
34330,223,"TWN","Taiwan",4,"Taiwan",7,"Hualien","","Hualia","District|Hsien","County"
34331,223,"TWN","Taiwan",4,"Taiwan",8,"Ilan","","Yilan","District|Hsien","County"
34332,223,"TWN","Taiwan",4,"Taiwan",9,"Kaohsiung","","Gaoxiong","District|Hsien","County"
34333,223,"TWN","Taiwan",4,"Taiwan",10,"Keelung City","","Jilong Shi|Chilung City","Shi","Municipality"
34334,223,"TWN","Taiwan",4,"Taiwan",11,"Miaoli","","","District|Hsien","County"
34335,223,"TWN","Taiwan",4,"Taiwan",12,"Nantou","","","District|Hsien","County"
34336,223,"TWN","Taiwan",4,"Taiwan",13,"Penghu","","","District|Hsien","County"
34337,223,"TWN","Taiwan",4,"Taiwan",14,"Pingtung","","Pingdong","District|Hsien","County"
34338,223,"TWN","Taiwan",4,"Taiwan",15,"Taichung City","","Taizhong Shi","Shi","Municipality"
34339,223,"TWN","Taiwan",4,"Taiwan",16,"Taichung","","Taizhong","District|Hsien","County"
34340,223,"TWN","Taiwan",4,"Taiwan",17,"Tainan City","","Tainan Shi","Shi","Municipality"
34341,223,"TWN","Taiwan",4,"Taiwan",18,"Tainan","","","District|Hsien","County"
34342,223,"TWN","Taiwan",4,"Taiwan",19,"Taipei","","Taibei","District|Hsien","County"
34343,223,"TWN","Taiwan",4,"Taiwan",20,"Taitung","","Taidong","District|Hsien","County"
34344,223,"TWN","Taiwan",4,"Taiwan",21,"Taoyuan","","","District|Hsien","County"
34345,223,"TWN","Taiwan",4,"Taiwan",22,"Yunlin","","YÃ¼anlin","District|Hsien","County"
